Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,4-0,1094.0,1.0,Big Ten
2,Indiana,5-0,638.81,0.584,Big Ten
3,Miami,4-0,593.99,0.543,ACC
4,Texas,3-1,593.2,0.542,SEC
5,Oklahoma,4-0,545.24,0.498,SEC
6,Texas Tech,4-0,527.7,0.482,Big 12
7,BYU,4-0,498.16,0.455,Big 12
8,Nebraska,3-1,473.82,0.433,Big Ten
9,Florida State,3-1,463.12,0.423,ACC
10,Oregon,5-0,444.95,0.407,Big Ten
11,LSU,4-1,399.49,0.365,SEC
12,Washington,3-1,399.46,0.365,Big Ten
13,Missouri,5-0,391.18,0.358,SEC
14,Penn State,3-1,378.96,0.346,Big Ten
15,Cincinnati,3-1,372.51,0.341,Big 12
16,Alabama,3-1,364.86,0.334,SEC
17,Michigan,3-1,349.5,0.319,Big Ten
18,Maryland,4-0,341.91,0.313,Big Ten
19,Vanderbilt,5-0,334.94,0.306,SEC
20,Ole Miss,5-0,333.88,0.305,SEC
21,Utah,4-1,327.2,0.299,Big 12
22,Old Dominion,3-1,317.99,0.291,Sun Belt
23,Iowa State,5-0,300.69,0.275,Big 12
24,East Carolina,3-2,299.59,0.274,American Athletic
25,South Florida,3-1,298.13,0.273,American Athletic
26,Florida,1-3,296.41,0.271,SEC
27,Georgia,3-1,278.36,0.254,SEC
28,Kansas,3-2,275.13,0.251,Big 12
29,Mississippi State,4-1,270.19,0.247,SEC
30,Louisville,4-0,269.65,0.246,ACC
31,Tennessee,4-1,265.77,0.243,SEC
32,USC,4-1,265.18,0.242,Big Ten
33,Virginia,4-1,263.19,0.241,ACC
34,Iowa,3-2,257.22,0.235,Big Ten
35,Notre Dame,2-2,254.47,0.233,FBS Independents
36,Minnesota,3-1,253.89,0.232,Big Ten
37,Texas A&M,4-0,243.04,0.222,SEC
38,Arizona,3-1,239.47,0.219,Big 12
39,UCF,3-1,234.14,0.214,Big 12
40,Toledo,3-2,233.25,0.213,Mid-American
41,San Diego State,3-1,229.21,0.21,Mountain West
42,Illinois,4-1,227.48,0.208,Big Ten
43,Memphis,5-0,226.69,0.207,American Athletic
44,Georgia Tech,5-0,219.32,0.2,ACC
45,Houston,4-0,215.74,0.197,Big 12
46,Louisiana Tech,4-1,212.28,0.194,Conference USA
47,Navy,4-0,204.05,0.187,American Athletic
48,North Texas,5-0,193.27,0.177,American Athletic
