Rank,Team,Record,Rating,Normalized,Conference
1,BYU,2-0,1178.51,1.0,Big 12
2,Ohio State,3-0,839.22,0.712,Big Ten
3,Florida State,2-0,733.85,0.623,ACC
4,Penn State,3-0,679.06,0.576,Big Ten
5,Oklahoma,3-0,655.54,0.556,SEC
6,Indiana,3-0,634.64,0.539,Big Ten
7,Nebraska,3-0,564.44,0.479,Big Ten
8,Oregon,3-0,533.3,0.453,Big Ten
9,Missouri,3-0,501.34,0.425,SEC
10,Illinois,3-0,479.65,0.407,Big Ten
11,Texas Tech,3-0,477.19,0.405,Big 12
12,UCF,2-0,448.72,0.381,Big 12
13,Washington,2-0,446.47,0.379,Big Ten
14,Utah,3-0,445.27,0.378,Big 12
15,Alabama,2-1,416.08,0.353,SEC
16,Arizona,3-0,400.19,0.34,Big 12
17,Cincinnati,2-1,389.34,0.33,Big 12
18,Mississippi State,3-0,386.33,0.328,SEC
19,Miami,3-0,371.9,0.316,ACC
20,Louisville,2-0,371.41,0.315,ACC
21,California,3-0,363.64,0.309,ACC
22,USC,3-0,359.79,0.305,Big Ten
23,LSU,3-0,354.08,0.3,SEC
24,Minnesota,2-1,352.32,0.299,Big Ten
25,Vanderbilt,3-0,340.41,0.289,SEC
26,Georgia,3-0,331.02,0.281,SEC
27,Maryland,3-0,330.83,0.281,Big Ten
28,Tennessee,2-1,325.77,0.276,SEC
29,Arkansas,2-1,319.45,0.271,SEC
30,East Carolina,2-1,308.61,0.262,American Athletic
31,Houston,3-0,305.11,0.259,Big 12
32,Texas,2-1,294.49,0.25,SEC
33,Ole Miss,3-0,292.19,0.248,SEC
34,TCU,2-0,288.87,0.245,Big 12
35,Michigan,2-1,285.09,0.242,Big Ten
36,Toledo,2-1,277.98,0.236,Mid-American
37,Memphis,3-0,275.58,0.234,American Athletic
38,Auburn,3-0,265.68,0.225,SEC
39,Kansas,2-1,261.88,0.222,Big 12
40,Georgia Tech,3-0,241.47,0.205,ACC
41,North Texas,3-0,238.72,0.203,American Athletic
42,Florida,1-2,234.52,0.199,SEC
43,Navy,3-0,229.82,0.195,American Athletic
44,Old Dominion,2-1,218.81,0.186,Sun Belt
45,James Madison,1-1,213.84,0.181,Sun Belt
46,Iowa State,4-0,208.48,0.177,Big 12
47,Iowa,2-1,206.02,0.175,Big Ten
48,West Virginia,2-1,197.58,0.168,Big 12
49,Virginia,2-1,186.74,0.158,ACC
50,Arizona State,2-1,174.06,0.148,Big 12
