Rank,Team,Record,Rating,Normalized,Conference
99,Kennesaw State,3-2,-63.51,-0.053,Conference USA
100,UNLV,5-0,-77.34,-0.065,Mountain West
101,Miami (OH),2-3,-86.6,-0.073,Mid-American
102,Liberty,1-4,-107.78,-0.091,Conference USA
103,San José State,2-3,-109.13,-0.092,Mountain West
104,Rice,3-3,-116.3,-0.098,American Athletic
105,New Mexico State,3-2,-126.06,-0.106,Conference USA
106,App State,3-2,-127.79,-0.107,Sun Belt
107,South Alabama,1-5,-129.77,-0.109,Sun Belt
108,Stanford,2-3,-134.53,-0.113,ACC
109,UAB,2-3,-140.17,-0.118,American Athletic
110,Georgia Southern,2-3,-141.78,-0.119,Sun Belt
111,Wyoming,2-3,-145.97,-0.123,Mountain West
112,UL Monroe,3-2,-155.72,-0.131,Sun Belt
113,Central Michigan,3-3,-156.27,-0.131,Mid-American
114,Marshall,2-3,-159.44,-0.134,Sun Belt
115,North Carolina,2-3,-159.45,-0.134,ACC
116,Kent State,1-4,-160.15,-0.135,Mid-American
117,Missouri State,2-3,-163.36,-0.137,Conference USA
118,Colorado State,1-4,-164.12,-0.138,Mountain West
119,Louisiana,2-3,-164.72,-0.138,Sun Belt
120,Ball State,2-3,-174.04,-0.146,Mid-American
121,Arkansas State,2-4,-177.27,-0.149,Sun Belt
122,Georgia State,1-4,-187.56,-0.158,Sun Belt
123,Florida International,2-3,-190.32,-0.16,Conference USA
124,UCLA,1-4,-192.29,-0.162,Big Ten
125,Coastal Carolina,2-3,-197.63,-0.166,Sun Belt
126,Northern Illinois,1-4,-200.29,-0.168,Mid-American
127,Oregon State,0-6,-211.3,-0.178,Pac-12
128,Tulsa,2-4,-212.13,-0.178,American Athletic
129,Akron,2-4,-235.75,-0.198,Mid-American
130,Eastern Michigan,1-5,-278.13,-0.234,Mid-American
131,Charlotte,1-4,-304.63,-0.256,American Athletic
132,Oklahoma State,1-4,-305.21,-0.256,Big 12
133,Nevada,1-4,-308.91,-0.26,Mountain West
134,Massachusetts,0-5,-376.27,-0.316,Mid-American
135,Middle Tennessee,1-4,-386.8,-0.325,Conference USA
136,Sam Houston,0-5,-414.7,-0.348,Conference USA
