Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,6-0,954.93,1.0,Big Ten
2,Indiana,6-0,664.33,0.696,Big Ten
3,Miami,5-0,649.84,0.681,ACC
4,Texas Tech,6-0,574.73,0.602,Big 12
5,LSU,5-1,472.75,0.495,SEC
6,Texas,4-2,470.83,0.493,SEC
7,Oklahoma,5-1,466.04,0.488,SEC
8,Washington,5-1,439.21,0.46,Big Ten
9,Utah,5-1,437.25,0.458,Big 12
10,Florida State,3-3,427.44,0.448,ACC
11,Notre Dame,4-2,420.15,0.44,FBS Independents
12,Oregon,5-1,387.93,0.406,Big Ten
13,BYU,6-0,369.64,0.387,Big 12
14,Texas A&M,6-0,367.16,0.384,SEC
15,Cincinnati,5-1,362.61,0.38,Big 12
16,Alabama,5-1,359.23,0.376,SEC
17,Illinois,5-2,350.4,0.367,Big Ten
18,Florida,2-4,338.76,0.355,SEC
19,Ole Miss,6-0,333.67,0.349,SEC
20,Missouri,5-1,325.9,0.341,SEC
21,Georgia,5-1,321.09,0.336,SEC
22,USC,5-1,318.47,0.333,Big Ten
23,Nebraska,5-1,312.37,0.327,Big Ten
24,Iowa,4-2,305.06,0.319,Big Ten
25,Vanderbilt,5-1,302.83,0.317,SEC
26,South Florida,5-1,294.71,0.309,American Athletic
27,Louisville,4-1,275.87,0.289,ACC
28,Georgia Tech,6-0,269.36,0.282,ACC
29,Virginia,5-1,263.51,0.276,ACC
30,Tennessee,5-1,259.81,0.272,SEC
31,Kansas,4-3,258.62,0.271,Big 12
32,Pittsburgh,4-2,247.28,0.259,ACC
33,Minnesota,4-2,244.17,0.256,Big Ten
34,Memphis,6-0,239.61,0.251,American Athletic
35,Iowa State,5-2,224.75,0.235,Big 12
36,Michigan,4-2,221.25,0.232,Big Ten
37,East Carolina,3-3,216.85,0.227,American Athletic
38,Old Dominion,4-2,204.21,0.214,Sun Belt
39,Duke,4-2,202.93,0.213,ACC
40,Rutgers,3-3,199.62,0.209,Big Ten
41,Arizona,4-2,192.43,0.202,Big 12
42,Maryland,4-2,188.48,0.197,Big Ten
43,Mississippi State,4-2,185.05,0.194,SEC
44,South Carolina,3-3,184.0,0.193,SEC
45,UCF,3-3,181.52,0.19,Big 12
46,NC State,4-3,174.54,0.183,ACC
47,Arkansas,2-4,173.69,0.182,SEC
48,Auburn,3-3,173.26,0.181,SEC
49,San Diego State,5-1,170.5,0.179,Mountain West
50,Boise State,4-2,149.19,0.156,Mountain West
51,Clemson,3-3,143.2,0.15,ACC
52,Toledo,3-3,142.17,0.149,Mid-American
53,Wake Forest,4-2,138.26,0.145,ACC
54,North Texas,5-1,138.19,0.145,American Athletic
55,Houston,5-1,126.73,0.133,Big 12
56,James Madison,5-1,120.79,0.126,Sun Belt
57,Ohio,3-3,114.69,0.12,Mid-American
58,Arizona State,4-2,112.27,0.118,Big 12
59,Penn State,3-3,102.8,0.108,Big Ten
60,TCU,4-2,101.78,0.107,Big 12
61,Louisiana Tech,4-2,89.92,0.094,Conference USA
62,West Virginia,2-4,88.19,0.092,Big 12
63,Tulane,5-1,86.58,0.091,American Athletic
64,Northwestern,4-2,83.13,0.087,Big Ten
65,Purdue,2-4,82.88,0.087,Big Ten
66,Baylor,4-2,71.82,0.075,Big 12
67,Navy,6-0,67.33,0.071,American Athletic
