Rank,Team,Record,Rating,Normalized,Conference
102,Air Force,3-8,-153.04,-0.214,Mountain West
103,Florida International,6-5,-159.53,-0.223,Conference USA
104,Jacksonville State,7-4,-160.92,-0.225,Conference USA
105,Wyoming,4-7,-166.5,-0.232,Mountain West
106,Oregon State,2-9,-169.4,-0.236,Pac-12
107,South Alabama,4-7,-171.79,-0.24,Sun Belt
108,Louisiana,5-6,-173.51,-0.242,Sun Belt
109,Arkansas State,5-6,-175.19,-0.245,Sun Belt
110,Tulsa,4-7,-179.74,-0.251,American Athletic
111,Liberty,4-7,-181.24,-0.253,Conference USA
112,UAB,3-8,-187.55,-0.262,American Athletic
113,Oklahoma State,1-10,-194.88,-0.272,Big 12
114,Buffalo,5-6,-200.02,-0.279,Mid-American
115,Georgia Southern,5-6,-203.99,-0.285,Sun Belt
116,Rice,5-6,-205.1,-0.286,American Athletic
117,Coastal Carolina,6-5,-211.14,-0.295,Sun Belt
118,San José State,3-8,-212.91,-0.297,Mountain West
119,App State,5-6,-213.22,-0.298,Sun Belt
120,Nevada,3-8,-218.13,-0.304,Mountain West
121,Colorado State,2-9,-220.58,-0.308,Mountain West
122,Delaware,5-6,-225.85,-0.315,Conference USA
123,Bowling Green,3-8,-237.23,-0.331,Mid-American
124,New Mexico State,4-7,-246.06,-0.343,Conference USA
125,Eastern Michigan,4-7,-249.2,-0.348,Mid-American
126,Northern Illinois,3-8,-254.45,-0.355,Mid-American
127,Kent State,4-7,-264.82,-0.37,Mid-American
128,Akron,5-7,-266.69,-0.372,Mid-American
129,UTEP,2-9,-273.97,-0.382,Conference USA
130,Georgia State,1-10,-304.47,-0.425,Sun Belt
131,Ball State,4-7,-324.21,-0.453,Mid-American
132,Middle Tennessee,2-9,-335.59,-0.468,Conference USA
133,UL Monroe,3-8,-338.65,-0.473,Sun Belt
134,Charlotte,1-10,-373.33,-0.521,American Athletic
135,Sam Houston,2-9,-437.58,-0.611,Conference USA
136,Massachusetts,0-11,-560.97,-0.783,Mid-American
