Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,3-0,1030.83,1.0,Big Ten
2,BYU,3-0,736.84,0.715,Big 12
3,Florida State,3-0,701.14,0.68,ACC
4,Penn State,3-0,698.77,0.678,Big Ten
5,Indiana,4-0,676.12,0.656,Big Ten
6,Texas,3-1,545.96,0.53,SEC
7,Oregon,4-0,505.98,0.491,Big Ten
8,Oklahoma,4-0,500.89,0.486,SEC
9,UCF,3-0,488.39,0.474,Big 12
10,Miami,4-0,486.09,0.472,ACC
11,Texas Tech,4-0,485.69,0.471,Big 12
12,LSU,4-0,478.06,0.464,SEC
13,Nebraska,3-1,460.39,0.447,Big Ten
14,Missouri,4-0,428.62,0.416,SEC
15,Alabama,2-1,425.48,0.413,SEC
16,Arizona,3-0,418.87,0.406,Big 12
17,Cincinnati,2-1,398.64,0.387,Big 12
18,Mississippi State,4-0,398.38,0.386,SEC
19,Vanderbilt,4-0,371.26,0.36,SEC
20,Houston,3-0,330.6,0.321,Big 12
21,USC,4-0,325.98,0.316,Big Ten
22,Washington,3-0,325.74,0.316,Big Ten
23,Georgia,3-0,322.77,0.313,SEC
24,Maryland,4-0,321.78,0.312,Big Ten
25,Ole Miss,4-0,320.48,0.311,SEC
26,Old Dominion,2-1,316.12,0.307,Sun Belt
27,Michigan,3-1,310.18,0.301,Big Ten
28,Louisville,3-0,307.83,0.299,ACC
29,Kansas,3-1,300.03,0.291,Big 12
30,East Carolina,2-2,294.96,0.286,American Athletic
31,Minnesota,2-1,285.8,0.277,Big Ten
32,Tennessee,3-1,275.06,0.267,SEC
33,TCU,3-0,257.7,0.25,Big 12
34,Utah,3-1,256.05,0.248,Big 12
35,Virginia,3-1,254.62,0.247,ACC
36,Arkansas,2-2,250.01,0.243,SEC
37,Georgia Tech,4-0,247.02,0.24,ACC
38,Memphis,4-0,238.43,0.231,American Athletic
39,Navy,3-0,236.92,0.23,American Athletic
40,Florida,1-3,218.7,0.212,SEC
41,South Florida,3-1,207.77,0.202,American Athletic
42,Iowa State,4-0,207.56,0.201,Big 12
43,San Diego State,2-1,203.31,0.197,Mountain West
44,Auburn,3-1,194.11,0.188,SEC
45,Texas A&M,3-0,193.49,0.188,SEC
