Rank,Team,Record,Rating,Normalized,Conference
122,Kent State,3-5,-221.29,-0.269,Mid-American
123,Florida International,3-5,-222.14,-0.27,Conference USA
124,UTEP,2-6,-227.84,-0.277,Conference USA
125,Northern Illinois,2-6,-246.8,-0.3,Mid-American
126,Georgia State,1-7,-267.93,-0.326,Sun Belt
127,Akron,3-6,-282.15,-0.343,Mid-American
128,New Mexico State,3-5,-283.8,-0.345,Conference USA
129,Eastern Michigan,2-7,-284.82,-0.346,Mid-American
130,Ball State,3-5,-301.78,-0.367,Mid-American
131,UL Monroe,3-6,-313.17,-0.381,Sun Belt
132,Nevada,1-7,-313.47,-0.381,Mountain West
133,Middle Tennessee,1-7,-358.36,-0.436,Conference USA
134,Charlotte,1-7,-375.66,-0.457,American Athletic
135,Massachusetts,0-8,-469.38,-0.571,Mid-American
136,Sam Houston,0-8,-493.43,-0.6,Conference USA
