Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,8-0,822.11,1.0,Big Ten
2,Indiana,9-0,683.24,0.831,Big Ten
3,Utah,7-2,505.93,0.615,Big 12
4,Oregon,7-1,501.58,0.61,Big Ten
5,Texas Tech,8-1,492.18,0.599,Big 12
6,Miami,6-2,425.67,0.518,ACC
7,BYU,8-0,417.92,0.508,Big 12
8,Washington,6-2,377.58,0.459,Big Ten
9,Notre Dame,6-2,372.42,0.453,FBS Independents
10,Iowa,6-2,353.85,0.43,Big Ten
11,Alabama,7-1,350.53,0.426,SEC
12,Oklahoma,7-2,338.68,0.412,SEC
13,Florida State,4-4,336.43,0.409,ACC
14,Texas A&M,8-0,332.65,0.405,SEC
15,Illinois,6-3,329.85,0.401,Big Ten
16,Georgia,7-1,323.52,0.394,SEC
17,USC,6-2,315.48,0.384,Big Ten
18,Vanderbilt,7-2,298.1,0.363,SEC
19,Missouri,6-2,296.89,0.361,SEC
20,Texas,7-2,296.49,0.361,SEC
21,Ole Miss,8-1,287.64,0.35,SEC
22,Cincinnati,7-2,281.71,0.343,Big 12
23,Michigan,7-2,276.99,0.337,Big Ten
24,Nebraska,6-3,265.27,0.323,Big Ten
25,San Diego State,7-1,264.58,0.322,Mountain West
26,Louisville,7-1,259.48,0.316,ACC
27,Tennessee,6-3,245.58,0.299,SEC
28,LSU,5-3,243.74,0.296,SEC
29,Arizona,5-3,233.81,0.284,Big 12
30,Florida,3-5,232.58,0.283,SEC
31,Pittsburgh,7-2,232.49,0.283,ACC
32,East Carolina,5-3,221.05,0.269,American Athletic
33,South Florida,6-2,219.72,0.267,American Athletic
34,Virginia,8-1,219.48,0.267,ACC
35,Penn State,3-5,217.56,0.265,Big Ten
36,Iowa State,5-4,215.34,0.262,Big 12
37,Georgia Tech,8-1,212.44,0.258,ACC
38,Arizona State,6-3,208.79,0.254,Big 12
39,Mississippi State,5-4,188.9,0.23,SEC
40,Minnesota,6-3,187.48,0.228,Big Ten
41,TCU,6-2,180.61,0.22,Big 12
42,Kansas,5-4,174.0,0.212,Big 12
43,UCF,4-4,172.62,0.21,Big 12
44,James Madison,7-1,169.51,0.206,Sun Belt
45,Northwestern,5-3,168.65,0.205,Big Ten
46,SMU,6-3,161.39,0.196,ACC
47,Baylor,5-4,159.23,0.194,Big 12
48,NC State,5-4,159.11,0.194,ACC
49,Duke,5-3,155.44,0.189,ACC
50,North Texas,8-1,150.05,0.183,American Athletic
51,Houston,7-2,149.91,0.182,Big 12
52,Kansas State,4-5,149.59,0.182,Big 12
53,Auburn,4-5,142.45,0.173,SEC
54,Arkansas,2-7,138.63,0.169,SEC
55,Memphis,8-1,131.91,0.16,American Athletic
56,Rutgers,4-5,128.94,0.157,Big Ten
57,Maryland,4-4,127.18,0.155,Big Ten
58,Wake Forest,5-3,122.08,0.148,ACC
59,South Carolina,3-6,115.83,0.141,SEC
60,Old Dominion,6-3,77.27,0.094,Sun Belt
61,Toledo,4-4,70.4,0.086,Mid-American
62,Michigan State,3-6,68.91,0.084,Big Ten
63,Clemson,3-5,65.88,0.08,ACC
64,West Virginia,3-6,59.84,0.073,Big 12
65,Boise State,6-3,52.29,0.064,Mountain West
66,Washington State,4-5,36.62,0.045,Pac-12
67,Ohio,5-3,36.25,0.044,Mid-American
68,Purdue,2-7,30.59,0.037,Big Ten
69,Navy,7-1,30.38,0.037,American Athletic
70,Tulane,6-2,30.14,0.037,American Athletic
71,California,5-4,29.79,0.036,ACC
72,Virginia Tech,3-6,26.43,0.032,ACC
73,Kennesaw State,6-2,25.63,0.031,Conference USA
74,Kentucky,3-5,25.34,0.031,SEC
75,UCLA,3-5,2.85,0.003,Big Ten
76,Fresno State,6-3,-0.04,-0.0,Mountain West
77,Louisiana Tech,5-3,-12.66,-0.015,Conference USA
78,Colorado,3-6,-13.28,-0.016,Big 12
79,UTSA,4-4,-18.31,-0.022,American Athletic
80,Western Michigan,5-4,-37.04,-0.045,Mid-American
81,UConn,6-3,-40.29,-0.049,FBS Independents
82,Southern Miss,6-2,-47.76,-0.058,Sun Belt
83,Temple,5-4,-48.4,-0.059,American Athletic
84,Syracuse,3-6,-49.42,-0.06,ACC
85,New Mexico,6-3,-50.63,-0.062,Mountain West
86,Army,4-4,-54.59,-0.066,American Athletic
87,Hawai'i,6-3,-57.39,-0.07,Mountain West
88,Utah State,4-4,-58.87,-0.072,Mountain West
89,Wisconsin,2-6,-60.16,-0.073,Big Ten
90,Wyoming,4-5,-63.94,-0.078,Mountain West
91,North Carolina,3-5,-64.02,-0.078,ACC
92,Boston College,1-8,-75.59,-0.092,ACC
93,Oregon State,2-7,-75.8,-0.092,Pac-12
94,Texas State,3-5,-82.22,-0.1,Sun Belt
95,Miami (OH),5-3,-86.03,-0.105,Mid-American
96,Stanford,3-6,-86.66,-0.105,ACC
97,Troy,6-3,-105.6,-0.128,Sun Belt
98,UNLV,6-2,-112.83,-0.137,Mountain West
99,Florida Atlantic,3-5,-117.87,-0.143,American Athletic
100,San José State,3-5,-120.07,-0.146,Mountain West
101,Western Kentucky,7-2,-120.92,-0.147,Conference USA
102,Marshall,4-4,-123.26,-0.15,Sun Belt
103,Colorado State,2-6,-124.82,-0.152,Mountain West
104,Buffalo,5-4,-126.77,-0.154,Mid-American
105,Air Force,2-6,-132.29,-0.161,Mountain West
106,Arkansas State,5-4,-137.62,-0.167,Sun Belt
107,Liberty,4-4,-139.6,-0.17,Conference USA
108,Central Michigan,5-4,-139.77,-0.17,Mid-American
109,App State,4-4,-148.72,-0.181,Sun Belt
110,Jacksonville State,5-3,-151.32,-0.184,Conference USA
111,Coastal Carolina,5-3,-160.56,-0.195,Sun Belt
112,UAB,3-5,-167.89,-0.204,American Athletic
113,Bowling Green,3-6,-172.78,-0.21,Mid-American
114,Missouri State,5-3,-173.99,-0.212,Conference USA
115,Georgia Southern,3-5,-179.03,-0.218,Sun Belt
116,Oklahoma State,1-8,-185.77,-0.226,Big 12
117,South Alabama,2-7,-192.7,-0.234,Sun Belt
118,Tulsa,2-6,-193.33,-0.235,American Athletic
119,Louisiana,3-6,-193.46,-0.235,Sun Belt
120,Delaware,4-4,-209.36,-0.255,Conference USA
121,Rice,4-5,-211.81,-0.258,American Athletic
