Rank,Team,Record,Rating,Normalized,Conference
55,Memphis,7-1,145.85,0.154,American Athletic
56,South Carolina,3-5,144.59,0.153,SEC
57,James Madison,6-1,137.15,0.145,Sun Belt
58,SMU,5-3,108.85,0.115,ACC
59,Baylor,4-4,105.54,0.112,Big 12
60,Boise State,6-2,104.04,0.11,Mountain West
61,Tulane,6-1,100.09,0.106,American Athletic
62,Toledo,4-4,73.22,0.077,Mid-American
63,Clemson,3-4,72.03,0.076,ACC
64,Old Dominion,5-3,71.42,0.076,Sun Belt
65,Washington State,4-4,62.2,0.066,Pac-12
66,Michigan State,3-5,60.23,0.064,Big Ten
67,Ohio,5-3,52.86,0.056,Mid-American
68,Virginia Tech,3-5,49.82,0.053,ACC
69,Navy,7-0,49.67,0.053,American Athletic
70,California,5-3,38.13,0.04,ACC
71,Kennesaw State,5-2,36.82,0.039,Conference USA
72,Purdue,2-6,34.05,0.036,Big Ten
73,West Virginia,2-6,31.19,0.033,Big 12
74,Colorado,3-5,26.18,0.028,Big 12
75,Syracuse,3-5,5.37,0.006,ACC
76,Kentucky,2-5,4.25,0.004,SEC
77,UCLA,3-5,-11.03,-0.012,Big Ten
78,Temple,5-3,-21.06,-0.022,American Athletic
79,Louisiana Tech,4-3,-27.44,-0.029,Conference USA
80,Western Michigan,4-4,-31.23,-0.033,Mid-American
81,Hawai'i,6-2,-36.47,-0.039,Mountain West
82,Fresno State,5-3,-46.23,-0.049,Mountain West
83,Wisconsin,2-6,-46.85,-0.05,Big Ten
84,New Mexico,5-3,-47.15,-0.05,Mountain West
85,UConn,5-3,-48.05,-0.051,FBS Independents
86,Army,3-4,-48.41,-0.051,American Athletic
87,Southern Miss,6-2,-52.06,-0.055,Sun Belt
88,UTSA,3-4,-54.61,-0.058,American Athletic
89,Utah State,4-4,-61.39,-0.065,Mountain West
90,Wyoming,4-4,-63.69,-0.067,Mountain West
91,Texas State,3-4,-68.88,-0.073,Sun Belt
92,Troy,6-2,-77.21,-0.082,Sun Belt
93,Oregon State,1-7,-80.7,-0.085,Pac-12
94,Miami (OH),5-3,-86.76,-0.092,Mid-American
95,UNLV,6-1,-91.46,-0.097,Mountain West
96,Marshall,4-3,-91.72,-0.097,Sun Belt
97,Boston College,1-7,-96.06,-0.102,ACC
98,Stanford,3-5,-98.68,-0.104,ACC
99,North Carolina,2-5,-103.99,-0.11,ACC
100,Florida Atlantic,3-5,-109.26,-0.116,American Athletic
101,Bowling Green,3-5,-119.7,-0.127,Mid-American
102,Jacksonville State,4-3,-121.9,-0.129,Conference USA
103,Air Force,2-5,-122.37,-0.129,Mountain West
104,Western Kentucky,6-2,-130.47,-0.138,Conference USA
105,Central Michigan,5-3,-135.33,-0.143,Mid-American
106,Colorado State,2-6,-135.8,-0.144,Mountain West
107,UAB,3-4,-146.97,-0.155,American Athletic
108,San José State,2-5,-151.38,-0.16,Mountain West
109,App State,4-4,-154.9,-0.164,Sun Belt
110,Delaware,4-3,-158.33,-0.167,Conference USA
111,Arkansas State,4-4,-159.64,-0.169,Sun Belt
112,South Alabama,2-6,-168.81,-0.178,Sun Belt
113,Buffalo,4-4,-171.63,-0.181,Mid-American
114,Liberty,3-4,-186.29,-0.197,Conference USA
115,Tulsa,2-6,-187.06,-0.198,American Athletic
116,Missouri State,4-3,-187.95,-0.199,Conference USA
117,Georgia Southern,3-5,-193.4,-0.204,Sun Belt
118,Florida International,3-4,-201.69,-0.213,Conference USA
119,Oklahoma State,1-7,-207.26,-0.219,Big 12
120,Coastal Carolina,4-3,-207.37,-0.219,Sun Belt
121,Rice,4-4,-210.34,-0.222,American Athletic
122,Louisiana,2-6,-212.97,-0.225,Sun Belt
123,Kent State,3-5,-221.89,-0.235,Mid-American
124,UTEP,2-5,-229.55,-0.243,Conference USA
125,Northern Illinois,2-6,-248.66,-0.263,Mid-American
126,New Mexico State,3-4,-258.81,-0.274,Conference USA
127,Georgia State,1-7,-273.25,-0.289,Sun Belt
128,Akron,3-6,-289.94,-0.307,Mid-American
129,Eastern Michigan,2-7,-295.02,-0.312,Mid-American
130,Ball State,3-5,-301.58,-0.319,Mid-American
131,UL Monroe,3-5,-307.2,-0.325,Sun Belt
132,Nevada,1-7,-328.85,-0.348,Mountain West
133,Middle Tennessee,1-6,-358.85,-0.379,Conference USA
134,Charlotte,1-7,-379.47,-0.401,American Athletic
135,Sam Houston,0-7,-458.01,-0.484,Conference USA
136,Massachusetts,0-8,-475.77,-0.503,Mid-American
