Rank,Team,Record,Rating,Normalized,Conference
1,Ohio State,7-0,945.81,1.0,Big Ten
2,Indiana,8-0,663.88,0.702,Big Ten
3,Texas Tech,7-1,504.7,0.534,Big 12
4,Miami,6-1,494.99,0.523,ACC
5,Oregon,7-1,487.02,0.515,Big Ten
6,Utah,6-2,470.73,0.498,Big 12
7,BYU,8-0,405.61,0.429,Big 12
8,Washington,6-2,403.21,0.426,Big Ten
9,Notre Dame,5-2,396.92,0.42,FBS Independents
10,Oklahoma,6-2,363.14,0.384,SEC
11,Alabama,7-1,350.05,0.37,SEC
12,Iowa,6-2,347.42,0.367,Big Ten
13,Illinois,5-3,346.68,0.367,Big Ten
14,Texas A&M,8-0,335.22,0.354,SEC
15,Texas,6-2,328.23,0.347,SEC
16,Vanderbilt,7-1,322.96,0.341,SEC
17,Cincinnati,7-1,322.09,0.341,Big 12
18,Georgia,6-1,319.84,0.338,SEC
19,Florida State,3-4,311.68,0.33,ACC
20,USC,5-2,309.85,0.328,Big Ten
21,Missouri,6-2,302.41,0.32,SEC
22,Michigan,6-2,291.96,0.309,Big Ten
23,Georgia Tech,8-0,286.39,0.303,ACC
24,Ole Miss,7-1,283.52,0.3,SEC
25,Nebraska,6-2,279.04,0.295,Big Ten
26,Louisville,6-1,272.52,0.288,ACC
27,Florida,3-4,264.66,0.28,SEC
28,Tennessee,6-2,248.49,0.263,SEC
29,LSU,5-3,246.95,0.261,SEC
30,UCF,4-3,243.47,0.257,Big 12
31,Pittsburgh,6-2,242.42,0.256,ACC
32,San Diego State,6-1,237.79,0.251,Mountain West
33,Iowa State,5-3,235.77,0.249,Big 12
34,South Florida,6-2,235.63,0.249,American Athletic
35,Arizona,4-3,216.42,0.229,Big 12
36,Virginia,7-1,208.93,0.221,ACC
37,Minnesota,5-3,207.02,0.219,Big Ten
38,Duke,4-3,203.51,0.215,ACC
39,Kansas,4-4,200.09,0.212,Big 12
40,Houston,7-1,195.27,0.206,Big 12
41,East Carolina,4-3,194.83,0.206,American Athletic
42,Mississippi State,4-4,192.85,0.204,SEC
43,Arizona State,5-3,187.37,0.198,Big 12
44,Wake Forest,5-2,177.33,0.187,ACC
45,Penn State,3-4,172.8,0.183,Big Ten
46,Auburn,4-4,168.11,0.178,SEC
47,Maryland,4-3,164.61,0.174,Big Ten
48,Northwestern,5-3,162.33,0.172,Big Ten
49,TCU,6-2,156.78,0.166,Big 12
50,NC State,4-4,156.01,0.165,ACC
51,Kansas State,4-4,151.24,0.16,Big 12
52,Rutgers,4-4,148.12,0.157,Big Ten
53,North Texas,7-1,147.0,0.155,American Athletic
54,Arkansas,2-6,146.47,0.155,SEC
